id,sleep_day,total_sleep_records,total_minutes_asleep,total_time_in_bed,source_folder,activity_date,sleep_efficiency
1503960366,2016-04-12T00:00:00Z,1,327,346,fitabase_2016_04_12_to_2016_05_12,2016-04-12,94.5
1503960366,2016-04-13T00:00:00Z,2,384,407,fitabase_2016_04_12_to_2016_05_12,2016-04-13,94.3
1503960366,2016-04-15T00:00:00Z,1,412,442,fitabase_2016_04_12_to_2016_05_12,2016-04-15,93.2
1503960366,2016-04-16T00:00:00Z,2,340,367,fitabase_2016_04_12_to_2016_05_12,2016-04-16,92.6
1503960366,2016-04-17T00:00:00Z,1,700,712,fitabase_2016_04_12_to_2016_05_12,2016-04-17,98.3
1503960366,2016-04-19T00:00:00Z,1,304,320,fitabase_2016_04_12_to_2016_05_12,2016-04-19,95
1503960366,2016-04-20T00:00:00Z,1,360,377,fitabase_2016_04_12_to_2016_05_12,2016-04-20,95.5
1503960366,2016-04-21T00:00:00Z,1,325,364,fitabase_2016_04_12_to_2016_05_12,2016-04-21,89.3
1503960366,2016-04-23T00:00:00Z,1,361,384,fitabase_2016_04_12_to_2016_05_12,2016-04-23,94
1503960366,2016-04-24T00:00:00Z,1,430,449,fitabase_2016_04_12_to_2016_05_12,2016-04-24,95.8
1503960366,2016-04-25T00:00:00Z,1,277,323,fitabase_2016_04_12_to_2016_05_12,2016-04-25,85.8
1503960366,2016-04-26T00:00:00Z,1,245,274,fitabase_2016_04_12_to_2016_05_12,2016-04-26,89.4
1503960366,2016-04-28T00:00:00Z,1,366,393,fitabase_2016_04_12_to_2016_05_12,2016-04-28,93.1
1503960366,2016-04-29T00:00:00Z,1,341,354,fitabase_2016_04_12_to_2016_05_12,2016-04-29,96.3
1503960366,2016-04-30T00:00:00Z,1,404,425,fitabase_2016_04_12_to_2016_05_12,2016-04-30,95.1
1503960366,2016-05-01T00:00:00Z,1,369,396,fitabase_2016_04_12_to_2016_05_12,2016-05-01,93.2
1503960366,2016-05-02T00:00:00Z,1,277,309,fitabase_2016_04_12_to_2016_05_12,2016-05-02,89.6
1503960366,2016-05-03T00:00:00Z,1,273,296,fitabase_2016_04_12_to_2016_05_12,2016-05-03,92.2
1503960366,2016-05-05T00:00:00Z,1,247,264,fitabase_2016_04_12_to_2016_05_12,2016-05-05,93.6
1503960366,2016-05-06T00:00:00Z,1,334,367,fitabase_2016_04_12_to_2016_05_12,2016-05-06,91
1503960366,2016-05-07T00:00:00Z,1,331,349,fitabase_2016_04_12_to_2016_05_12,2016-05-07,94.8
1503960366,2016-05-08T00:00:00Z,1,594,611,fitabase_2016_04_12_to_2016_05_12,2016-05-08,97.2
1503960366,2016-05-09T00:00:00Z,1,338,342,fitabase_2016_04_12_to_2016_05_12,2016-05-09,98.8
1503960366,2016-05-10T00:00:00Z,1,383,403,fitabase_2016_04_12_to_2016_05_12,2016-05-10,95
1503960366,2016-05-11T00:00:00Z,1,285,306,fitabase_2016_04_12_to_2016_05_12,2016-05-11,93.1
1644430081,2016-04-29T00:00:00Z,1,119,127,fitabase_2016_04_12_to_2016_05_12,2016-04-29,93.7
1644430081,2016-04-30T00:00:00Z,1,124,142,fitabase_2016_04_12_to_2016_05_12,2016-04-30,87.3
